1,홍길동,88,96,83,267,89,1
2,유관순,76,57,91,224,74.6666666667,1
3,이순신,72,85,77,234,78,1
4,강감찬,91,51,59,201,67,1
5,김구,66,74,61,201,67,1
6,김유신,76,55,72,203,67.6666666667,1
7,홍길자,78,61,50,189,63,1
8,홍길순,78,51,56,185,61.6666666667,1
9,talabastar8,56,71,51,178,59.3333333333,1
10,btidridge9,86,78,50,214,71.3333333333,1
11,gkurtena,70,90,80,240,80,1
12,slavalb,86,99,97,282,94,1
13,bitskovitzc,83,61,82,226,75.3333333333,1
14,alivesleyd,80,56,94,230,76.6666666667,1
15,besmonde,88,51,83,222,74,1
16,bsandelandf,90,73,65,228,76,1
17,smastrantoneg,80,61,80,221,73.6666666667,1
18,calderwickh,68,54,92,214,71.3333333333,1
19,mbasketteri,75,76,66,217,72.3333333333,1
20,madolfsenj,57,51,65,173,57.6666666667,1
