no,name,kor,eng,math,total,avg,rank,sdate
1,Clerkclaude,26,96,61,183,61,29,2024-04-04
2,Elle,35,42,83,160,53.3333333333,54,2024-07-13
3,Felisha,79,31,53,163,54.3333333333,64,2024-10-09
4,Winifred,24,36,47,107,35.6666666667,24,2024-06-12
5,Zebulen,13,55,16,84,28,43,2024-06-22
6,Selinda,17,88,18,123,41,79,2024-06-05
7,Lilllie,59,40,29,128,42.6666666667,90,2024-10-16
8,Lura,37,31,53,121,40.3333333333,42,2023-12-02
9,Roxie,99,1,47,147,49,61,2024-01-13
10,Blayne,18,21,80,119,39.6666666667,73,2024-05-16
11,Brigham,96,62,48,206,68.6666666667,72,2024-07-20
12,Roselin,89,13,81,183,61,81,2024-04-01
13,Udell,31,10,20,61,20.3333333333,8,2024-01-09
14,Ryley,12,3,35,50,16.6666666667,68,2024-03-24
15,Humphrey,90,22,16,128,42.6666666667,4,2024-08-30
16,Sandi,47,25,90,162,54,35,2024-02-06
17,Joelie,56,49,12,117,39,80,2024-04-05
18,Dareen,54,84,27,165,55,100,2024-03-17
19,Ennis,28,16,35,79,26.3333333333,68,2024-03-29
20,Axe,65,5,41,111,37,64,2024-09-07
21,Helenka,52,47,56,155,51.6666666667,73,2024-11-01
22,Ame,7,23,55,85,28.3333333333,52,2024-04-04
23,Stanislas,36,90,24,150,50,15,2024-06-22
24,Bendick,96,82,41,219,73,19,2024-07-22
25,Pooh,26,92,4,122,40.6666666667,24,2024-02-17
26,Mair,7,90,43,140,46.6666666667,16,2024-04-29
27,Matty,27,1,36,64,21.3333333333,45,2024-10-25
28,Margarette,31,47,58,136,45.3333333333,95,2023-12-18
29,Rodolph,35,53,32,120,40,67,2024-04-10
30,Christie,56,94,17,167,55.6666666667,15,2024-02-29
31,Ermengarde,30,88,9,127,42.3333333333,62,2024-01-28
32,Dulcie,10,10,98,118,39.3333333333,12,2024-02-15
33,Deena,38,38,76,152,50.6666666667,68,2024-10-07
34,Amalita,95,24,7,126,42,20,2024-06-05
35,Annaliese,100,24,83,207,69,22,2024-08-17
36,Olin,26,90,82,198,66,79,2023-12-17
37,Friedrich,69,87,48,204,68,49,2024-04-15
38,Anneliese,90,99,55,244,81.3333333333,64,2024-02-14
39,Fabian,65,16,93,174,58,21,2024-04-21
40,Portia,77,19,66,162,54,97,2024-01-12
41,Larine,78,57,43,178,59.3333333333,52,2024-03-21
42,Starr,69,42,86,197,65.6666666667,63,2024-05-25
43,Philippa,47,44,65,156,52,39,2024-01-31
44,Nicolai,78,80,19,177,59,18,2024-04-16
45,Delilah,87,50,78,215,71.6666666667,59,2024-05-06
46,Timotheus,38,59,16,113,37.6666666667,27,2024-09-02
47,Nye,52,96,42,190,63.3333333333,39,2024-09-06
48,Fred,90,24,33,147,49,17,2024-04-13
49,Cordell,93,32,83,208,69.3333333333,42,2024-03-17
50,Cullie,37,67,20,124,41.3333333333,35,2024-04-07
51,Mychal,77,65,18,160,53.3333333333,37,2024-07-22
52,Felizio,38,46,40,124,41.3333333333,40,2024-03-24
53,Lenette,64,6,46,116,38.6666666667,30,2024-09-25
54,Tye,26,84,71,181,60.3333333333,8,2023-11-18
55,Vick,47,79,35,161,53.6666666667,61,2024-07-24
56,Legra,95,58,76,229,76.3333333333,28,2024-10-31
57,Luise,96,83,80,259,86.3333333333,6,2024-09-10
58,Ayn,20,71,41,132,44,42,2024-03-16
59,Dore,96,48,23,167,55.6666666667,41,2024-03-13
60,Archer,57,38,51,146,48.6666666667,100,2024-07-21
61,Emmett,62,83,79,224,74.6666666667,7,2024-03-03
62,Adiana,59,92,16,167,55.6666666667,70,2024-07-22
63,Fina,46,72,96,214,71.3333333333,52,2024-02-05
64,Tabbatha,6,63,2,71,23.6666666667,93,2024-01-25
65,Daron,57,25,8,90,30,75,2024-01-14
66,Deeann,13,80,10,103,34.3333333333,51,2023-12-13
67,Arv,9,77,72,158,52.6666666667,34,2024-09-16
68,Malia,49,32,82,163,54.3333333333,64,2024-09-16
69,Milo,61,79,42,182,60.6666666667,18,2024-08-16
70,Theodor,27,40,24,91,30.3333333333,14,2023-12-05
71,Bertram,55,89,85,229,76.3333333333,95,2024-02-29
72,Maxy,4,59,12,75,25,11,2024-06-02
73,Clotilda,69,51,63,183,61,95,2023-11-19
74,Drud,73,14,58,145,48.3333333333,25,2024-09-28
75,Gale,11,88,58,157,52.3333333333,51,2024-09-17
76,Heddie,88,35,87,210,70,39,2024-04-27
77,Tamarra,3,63,35,101,33.6666666667,51,2024-06-19
78,Town,69,66,84,219,73,32,2024-04-02
79,Bettine,20,2,78,100,33.3333333333,45,2024-07-17
80,Vasily,89,73,74,236,78.6666666667,91,2024-09-09
81,Raquel,15,61,55,131,43.6666666667,55,2024-05-10
82,Bailie,80,99,38,217,72.3333333333,37,2024-06-04
83,Willie,70,85,8,163,54.3333333333,99,2024-08-27
84,Tracey,38,28,71,137,45.6666666667,44,2024-03-18
85,Genia,30,32,43,105,35,76,2024-02-08
86,Kristi,5,94,75,174,58,30,2024-03-16
87,Peyton,14,45,49,108,36,43,2024-11-04
88,Gilberte,46,59,4,109,36.3333333333,79,2024-06-13
89,Drucy,16,16,45,77,25.6666666667,87,2024-09-12
90,Gabi,18,31,16,65,21.6666666667,95,2023-12-20
91,Albert,99,69,52,220,73.3333333333,72,2024-10-18
92,Cheslie,22,53,98,173,57.6666666667,5,2024-02-21
93,Gerri,37,83,68,188,62.6666666667,18,2024-01-01
94,Fiann,8,6,23,37,12.3333333333,21,2024-04-08
95,Barret,58,77,55,190,63.3333333333,67,2024-09-02
96,Nichols,71,33,24,128,42.6666666667,39,2024-03-25
97,Lurlene,51,56,91,198,66,19,2024-09-23
98,Stevie,20,54,51,125,41.6666666667,90,2024-05-05
99,Pooh,80,23,15,118,39.3333333333,67,2024-03-07
100,Rebekkah,21,63,93,177,59,96,2024-09-19
101,Ronni,74,18,45,137,45.6666666667,15,2024-07-19
102,Hartwell,2,51,99,152,50.6666666667,14,2024-01-18
103,Wye,4,85,51,140,46.6666666667,65,2024-08-08
104,Leland,53,68,20,141,47,57,2024-09-29
105,Morley,41,87,96,224,74.6666666667,43,2024-07-12
106,Sebastian,24,66,1,91,30.3333333333,63,2024-05-15
107,Rosamund,34,68,86,188,62.6666666667,18,2023-12-01
108,Kelcey,42,74,39,155,51.6666666667,66,2024-10-08
109,Bert,57,69,97,223,74.3333333333,81,2023-12-11
110,Isidro,38,55,55,148,49.3333333333,94,2023-11-09
111,Lisa,47,98,27,172,57.3333333333,40,2024-05-07
112,Duane,37,11,31,79,26.3333333333,39,2024-08-30
113,Mina,64,24,25,113,37.6666666667,32,2024-10-21
114,Violante,83,36,58,177,59,55,2024-07-12
115,Fred,24,6,2,32,10.6666666667,24,2024-08-15
